zipcode,lat,long,sqft_living15,sqft_lot15
98001,47.3162,-122.272,1700.0,8948.5
98002,47.3063,-122.215,1410.0,7316.0
98003,47.3287,-122.308,1774.0,8589.5
98004,47.6214,-122.205,2540.0,11377.0
98005,47.6034,-122.1685,2435.0,11623.5
98006,47.5585,-122.1465,2690.0,10191.5
98007,47.6079,-122.142,2080.0,8749.0
98008,47.6159,-122.117,1930.0,8539.0
98010,47.3352,-122.003,1860.0,18963.0
98011,47.7557,-122.202,2160.0,8970.0
98014,47.6722,-121.911,1855.0,21881.0
98019,47.7356,-121.967,2075.0,10094.0
98022,47.2061,-121.999,1685.0,9317.0
98023,47.3083,-122.365,1940.0,8336.0
98024,47.5617,-121.901,1980.0,43093.0
98027,47.5323,-122.047,2310.0,9917.5
98028,47.7558,-122.244,2040.0,9994.0
98029,47.5582,-122.003,2120.0,5000.0
98030,47.3712,-122.185,1855.0,7454.0
98031,47.404,-122.188,1845.0,7777.5
98032,47.3739,-122.284,1700.0,8075.0
98033,47.6837,-122.188,2100.0,8913.5
98034,47.7217,-122.212,1820.0,7866.0
98038,47.364,-122.033,2020.0,6719.0
98039,47.6239,-122.2355,3105.0,16582.5
98040,47.5625,-122.225,2875.0,11664.5
98042,47.3666,-122.115,1950.0,7958.0
98045,47.4776,-121.769,1680.0,11560.0
98052,47.683,-122.1165,2230.0,8476.0
98053,47.6821,-122.026,2330.0,7153.0
98055,47.4562,-122.2015,1714.0,7460.5
98056,47.5098,-122.182,1870.0,7719.0
98058,47.4476,-122.151,1910.0,8301.0
98059,47.4894,-122.146,2255.0,8755.0
98065,47.5336,-121.87,2440.0,5900.0
98070,47.4145,-122.4615,1760.0,40971.5
98072,47.7498,-122.132,2300.0,15000.0
98074,47.6251,-122.045,2570.0,10071.0
98075,47.5884,-122.022,2970.0,10295.0
98077,47.746,-122.068,2815.0,37038.0
98092,47.3107,-122.18,2150.0,8030.0
98102,47.6371,-122.321,1820.0,3300.0
98103,47.6794,-122.346,1500.0,3850.0
98105,47.6656,-122.288,1850.0,4200.0
98106,47.5327,-122.357,1320.0,5080.0
98107,47.6711,-122.372,1500.0,3884.0
98108,47.5519,-122.304,1505.0,5233.5
98109,47.6372,-122.351,1850.0,3600.0
98112,47.6288,-122.3,2050.0,4500.0
98115,47.6845,-122.304,1640.0,5243.0
98116,47.5732,-122.392,1600.0,5140.0
98117,47.686,-122.378,1480.0,4700.0
98118,47.5453,-122.275,1545.0,5378.5
98119,47.639,-122.368,1760.0,3600.0
98122,47.6102,-122.299,1590.0,3750.0
98125,47.7164,-122.301,1560.0,7547.5
98126,47.544,-122.376,1395.0,5040.0
98133,47.733,-122.343,1504.5,7556.5
98136,47.5404,-122.388,1630.0,5700.0
98144,47.5876,-122.296,1580.0,4000.0
98146,47.5036,-122.358,1440.0,8100.0
98148,47.4327,-122.329,1540.0,8825.0
98155,47.7538,-122.3055,1610.0,8636.0
98166,47.456,-122.349,1860.0,10775.5
98168,47.4889,-122.312,1430.0,9078.0
98177,47.7537,-122.368,2110.0,8258.0
98178,47.4992,-122.2465,1650.0,7200.0
98188,47.4482,-122.282,1590.0,9371.5
98198,47.3923,-122.317,1630.0,8136.0
98199,47.648,-122.398,1810.0,5520.0
